n	k	t	time	moveCount
15800	1	58	18.1412	18979929
15800	2	58	18.4692	19073127
15900	0	59	18.321	19310045
15900	1	59	18.2773	19219381
15900	2	59	18.2807	19247213
16000	0	60	18.6603	19535131
16000	1	60	18.7512	19316013
16000	2	60	18.4983	19494551
16100	0	61	18.4868	19434414
16100	1	61	18.8011	19730817
16100	2	61	18.8613	19700132
16200	0	62	18.8885	19771943
16200	1	62	19.275	20179010
16200	2	62	19.2878	20019866
16300	0	63	20.1336	19924783
16300	1	63	19.3141	20167124
16300	2	63	19.1123	20011540
16400	0	64	19.5329	20474208
16400	1	64	19.4496	20470010
16400	2	64	19.443	20399257
16500	0	65	19.9137	20798112
16500	1	65	20.0124	20864927
16500	2	65	20.0844	20995088
16600	0	66	19.7376	20735828
16600	1	66	20.1229	20878000
16600	2	66	20.313	21087828
16700	0	67	20.086	20827689
16700	1	67	20.5224	21121218
16700	2	67	20.4873	21066894
16800	0	68	20.7147	21222564
16800	1	68	20.6865	21287516
16800	2	68	20.8918	21458074
16900	0	69	21.2498	21783525
16900	1	69	21.0951	21628111
16900	2	69	21.0843	21558986
17000	0	70	21.1047	21567226
17000	1	70	21.0452	21472790
17000	2	70	21.2262	21637328
17100	0	71	21.8829	22111863
17100	1	71	21.5864	22039180
17100	2	71	21.9828	22450473
17200	0	72	22.0377	22223372
17200	1	72	22.3563	22629736
17200	2	72	22.4234	22621237
17300	0	73	22.5325	22790641
17300	1	73	22.2546	22457699
17300	2	73	22.4624	22693972
17400	0	74	22.7038	22899540
17400	1	74	22.8331	22995814
17400	2	74	22.6128	22763302
17500	0	75	23.2833	23469398
17500	1	75	22.9743	23091412
17500	2	75	23.1138	23253868
17600	0	76	23.2209	23309716
17600	1	76	23.5008	23680144
17600	2	76	23.2281	23270913
17700	0	77	23.6943	23631981
17700	1	77	23.8238	23886450
17700	2	77	23.5452	23548849
17800	0	78	24.1948	24185728
17800	1	78	24.0312	23971605
17800	2	78	24.0784	23950339
17900	0	79	24.3433	24130200
17900	1	79	24.6474	24336909
17900	2	79	24.314	24062605
18000	0	80	25.5935	24804955
18000	1	80	25.1008	24502843
18000	2	80	24.8703	24617169
18100	0	81	25.2997	24940651
18100	1	81	24.9325	24681409
18100	2	81	25.2379	24878925
18200	0	82	25.8019	25479926
18200	1	82	25.6458	25236001
18200	2	82	25.0641	24773694
18300	0	83	25.4924	25194112
18300	1	83	25.5765	25161916
18300	2	83	25.4476	24780070
18400	0	84	25.8275	25376484
18400	1	84	25.8474	25177749
18400	2	84	26.3093	25791411
18500	0	85	26.2819	25816028
18500	1	85	26.2561	25791723
18500	2	85	27.1416	26497150
18600	0	86	27.4501	26837829
18600	1	86	26.6841	26045794
18600	2	86	26.5494	26053820
18700	0	87	27.7152	26831595
18700	1	87	27.3181	26554008
18700	2	87	27.4925	26756758
18800	0	88	27.4502	26736373
18800	1	88	27.4288	26716715
18800	2	88	27.1043	26494071
18900	0	89	27.5706	26770765
18900	1	89	27.5615	26732868
18900	2	89	27.7351	26962872
19000	0	90	28.3411	26888001
19000	1	90	28.5553	27208142
19000	2	90	28.6051	27334320
19100	0	91	28.7814	27749528
19100	1	91	28.6801	27596506
19100	2	91	28.9374	27470877
19200	0	92	28.665	27584054
19200	1	92	29.058	27999910
19200	2	92	28.7119	27708942
19300	0	93	30.5999	28297405
19300	1	93	29.1842	27929170
19300	2	93	29.3972	28030501
19400	0	94	30.1606	28656216
19400	1	94	30.1068	28756247
19400	2	94	29.935	28512293
19500	0	95	30.2242	28742044
19500	1	95	30.899	29187453
19500	2	95	30.0144	28575044
19600	0	96	32.0298	29063295
19600	1	96	31.8204	28977396
19600	2	96	31.5283	28723817
19700	0	97	32.4649	29531508
19700	1	97	32.4473	29363975
19700	2	97	32.4941	29444925
19800	0	98	32.9118	29780230
19800	1	98	32.5014	29500993
19800	2	98	32.8728	29720902
19900	0	99	33.1405	29866170
19900	1	99	33.3514	30184164
19900	2	99	33.4031	30243463
